id;nome;uf;codi_estd;desc_estd
3105707;Barra Longa;MG;31;Minas Gerais
3105905;Barroso;MG;31;Minas Gerais
3106002;Bela Vista de Minas;MG;31;Minas Gerais
3106101;Belmiro Braga;MG;31;Minas Gerais
3106200;Belo Horizonte;MG;31;Minas Gerais
3106309;Belo Oriente;MG;31;Minas Gerais
3106408;Belo Vale;MG;31;Minas Gerais
3106507;Berilo;MG;31;Minas Gerais
3106606;Bertópolis;MG;31;Minas Gerais
3106655;Berizal;MG;31;Minas Gerais
3106705;Betim;MG;31;Minas Gerais
3106804;Bias Fortes;MG;31;Minas Gerais
3106903;Bicas;MG;31;Minas Gerais
1100130;Machadinho D'Oeste;RO;11;Rondônia
1100346;Alvorada D'Oeste;RO;11;Rondônia